French Social Security Number atleast two matches

2 69 05 49 588 157 80
1 15 07 48 835 005 81
2 69 05 49 588 157 80
1 15 07 48 835 005 81
2 69 05 49 588 157 80
1 15 07 48 835 005 81
2 69 05 49 588 157 80
1 15 07 48 835 005 81
2 69 05 49 588 157 80
1 15 07 48 835 005 81

French Social Security Number Multiple Records
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
2 65 04 99 688 509 77
1 82 02 96 900 222 06
2 47 06 35 546 919 01
1 84 03 38 102 775 26
1 45 09 54 110 136 69
2 27 10 59 357 748 50
1 77 12 85 225 389 13
1 05 06 43 795 189 46
